"mean","variance","variance.expected","variance.standardized","gene"
0.29796077412651,0.547477004956318,0.635832048008373,0.861040280481626,"CD48"
0.328354331731394,0.629763607350342,0.731464908334998,0.860962159871577,"LGALS8"
0.0505260423431615,0.0695434358961429,0.0807841113690363,0.860855367690512,"ZBTB42"
0.0131185868294584,0.0173649029267634,0.0201722605222707,0.860830788279386,"PTGER3"
0.0649434991557345,0.0895723889870268,0.104064037345615,0.860742973958827,"BORCS6"
0.0757241200155864,0.104813307096767,0.121779369830353,0.860681963150072,"NFKBIL1"
0.0137680218210157,0.0182567666519839,0.0212126795158175,0.860653489738086,"S100Z"
0.296661904143395,0.543832711215456,0.631898456268195,0.860633074540433,"IPO9"
0.154955188985583,0.23124687705121,0.268703959261069,0.860600929316896,"TMED8"
0.0144174568125731,0.0191477867360099,0.0222510685148213,0.860533359252199,"PER3"
0.164177165865697,0.248958179052451,0.289312151458648,0.860517533733921,"VPS72"
0.236004675931939,0.398048779401361,0.462569950066156,0.8605158621835,"SHKBP1"
0.077542537991947,0.107392453211069,0.124802869080529,0.860496669686128,"UGT8"
0.0355890375373425,0.048356534647281,0.0561973281783785,0.86047746778619,"EIF3I"
0.149889596051435,0.22148966045163,0.257411628958612,0.860449317490799,"TFEB"
0.0150668918041304,0.0200379631788414,0.0232884502966265,0.86042492839225,"ZDHHC1"
0.00532536693077023,0.0065967342109429,0.00766695621538688,0.860411097392711,"ESPNL"
0.118846603454994,0.168908204447736,0.196312071838628,0.860406611095115,"MPG"
0.293154955188986,0.534599800745456,0.621334303923761,0.860406060585149,"ATF2"
0.0554617482789973,0.0762948601565168,0.0886833102581401,0.860306859706042,"C1orf109"
0.200025977399662,0.319818133905497,0.371809189740224,0.860167372756314,"PTDSS1"
0.224055072087284,0.371590672986415,0.432022765562805,0.860118268310086,"RHOQ"
0.212625016235875,0.346704708810329,0.403106750369231,0.86008162476257,"AIP"
0.0793609559683076,0.109964985178406,0.127866902900393,0.859995688360938,"GPKOW"
0.0707884140797506,0.0977423115519013,0.113658183103593,0.859967218223212,"MED9"
0.101961293674503,0.143538631393285,0.166924569892228,0.859901160661719,"PKNOX1"
0.0329912975711131,0.0446375955335072,0.051911156542548,0.859884435379914,"FRY"
0.0776724249902585,0.107502194057656,0.125020018740687,0.859879842768485,"JAZF1"
0.0170151967788024,0.0227034306601685,0.0264036810225418,0.859858541723242,"CCDC163"
0.0170151967788024,0.0227034306601684,0.0264036810225418,0.859858541723241,"PC"
0.0940381867775036,0.13171165923267,0.153189774694758,0.859794065857958,"PSMA5"
0.0272762696454085,0.0366682233533988,0.0426478194411955,0.859791282036315,"PCDHGC3"
0.197688011430056,0.314772518394842,0.366119908798343,0.859752531426019,"PLRG1"
0.0924795427977659,0.12940433431125,0.150513955060688,0.859749743863104,"DAD1"
0.0100012988699831,0.0130202520118227,0.0151451703459485,0.859696636908792,"CYP21A2"
0.13170541628783,0.188938777329714,0.219790390560605,0.859631655632436,"EEA1"
0.134952591245616,0.194178261586882,0.225904593035954,0.859558714487825,"XRCC5"
0.00805299389531108,0.0103274505557925,0.0120148428971844,0.859557685786529,"PRRT1"
0.00805299389531108,0.0103274505557925,0.0120148428971844,0.859557685786528,"TNFSF15"
